benchmark,filename,rougeL,rouge1,rouge2,rougeLsum
cnn_dm,sampling_gemma1B_t1-gemma-1B-cnn_dm.csv,0.17974860445563853,0.2805959053483265,0.08168783689709808,0.24418671337406628
cnn_dm,sampling_gemma270m_t1-gemma-270m-cnn_dm.csv,0.08943028734900316,0.12994225935582795,0.0190028163317713,0.11437762314100339
cnn_dm,sampling_qwen0.6B_t1-qwen-0.6B-cnn_dm.csv,0.14285550056822427,0.2171841105577594,0.0633300972472624,0.18564082212232141
cnn_dm,sampling_qwen1.7B_t1-qwen-1.7B-cnn_dm.csv,0.16178675179154733,0.2513557101548819,0.07813419950375397,0.21563792967196244
cnn_dm,spec_gemma1b_assist270m_gamma5-gemma-1b-cnn_dm.csv,0.17507976662356708,0.2692413609152556,0.07566407533519742,0.23313324519206205
cnn_dm,spec_qwen1.7b_assist0.6b_gamma5-qwen-1.7b-cnn_dm.csv,0.16343428874349608,0.2505636473751673,0.07844692429145952,0.2166320573074719
cnn_dm,speccasc_gemma1b_assist270m_gamma5-gemma-1b-cnn_dm.csv,0.1973850996069106,0.29429323345959485,0.11578051691748784,0.25611682775016764
cnn_dm,speccasc_qwen1.7b_assist0.6b_gamma5-qwen-1.7b-cnn_dm.csv,0.15902337956845872,0.23815652684666405,0.07975515250108854,0.20544485341157448
cnn_dm,specensmb_gemma270m_gamma5-gemma-270m-cnn_dm.csv,0.09488978717219451,0.13258002472120284,0.02245978439515077,0.11946428987000762
cnn_dm,specensmb_qwen0.6b_gamma5-qwen-0.6b-cnn_dm.csv,0.1472823684787451,0.22337813228232942,0.066394762635316,0.1947088714446409
